Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Registrovan,Godina,Brand_enc,Model_enc,Tip_enc,Gorivo_enc
28500.0,302000.0,3.0,150.0,1,2010.0,2,65,4,1
59500.0,170000.0,2.5,175.0,1,2016.0,30,313,10,1
24950.0,290914.0,2.0,135.0,0,2014.0,2,591,4,1
23900.0,267690.0,2.0,110.0,1,2014.0,14,372,12,1
15900.0,193000.0,1.6,130.0,1,2016.0,22,630,4,0
7000.0,270000.0,2.4,118.0,1,2006.0,17,517,4,4
6800.0,330000.0,2.0,100.0,1,2008.0,34,46,4,1
19900.0,311427.0,3.2,165.0,1,2006.0,30,193,11,1
9500.0,233800.0,1.6,55.0,1,2013.0,48,285,2,1
46900.0,140000.0,1.6,88.0,0,2018.0,34,57,6,1
25900.0,241000.0,2.0,135.0,1,2013.0,2,591,10,1
7999.0,186000.0,1.5,65.0,0,2012.0,36,216,4,1
16999.0,275003.0,2.0,103.0,1,2013.0,45,441,2,1
6850.0,275852.0,2.0,103.0,1,2004.0,45,328,5,1
12900.0,180000.0,1.6,77.0,1,2011.0,48,425,2,1
25900.0,240600.0,3.0,190.0,0,2011.0,2,66,2,1
23900.0,221579.0,2.0,105.0,1,2011.0,2,591,12,1
85000.0,12000.0,1.0,150.0,1,2022.0,45,347,4,2
19900.0,255000.0,2.0,85.0,1,2014.0,2,5,5,1
22400.0,272000.0,3.0,202.0,1,2009.0,20,606,4,1
22500.0,241600.0,2.2,110.0,0,2016.0,29,199,10,1
12700.0,350000.0,2.7,132.0,1,2005.0,1,101,4,1
29500.0,163500.0,1.6,88.0,1,2015.0,45,441,2,1
67000.0,150000.0,2.0,140.0,1,2017.0,1,460,12,1
28900.0,172084.0,2.0,110.0,1,2019.0,45,328,2,1
14500.0,265000.0,1.6,77.0,1,2011.0,45,328,2,1
1000.0,247216.0,1.2,59.0,1,2001.0,13,144,4,0
14200.0,137212.0,4.2,200.0,1,2005.0,15,273,12,4
20500.0,200000.0,1.5,75.0,0,2018.0,34,32,4,1
12300.0,275000.0,2.0,103.0,1,2009.0,45,441,2,1
58500.0,185000.0,2.5,170.0,0,2019.0,44,470,4,3
26800.0,198000.0,1.6,88.0,1,2015.0,45,441,4,1
12999.0,259000.0,2.0,81.0,1,2009.0,45,441,2,1
37999.0,220000.0,2.0,105.0,1,2015.0,2,47,11,1
38900.0,209944.0,1.5,96.0,1,2019.0,34,27,10,1
25990.0,115827.0,2.0,88.0,0,2017.0,46,570,4,1
37990.0,157085.0,2.0,110.0,0,2019.0,45,441,4,1
38990.0,100340.0,1.6,88.0,0,2020.0,45,441,2,1
17000.0,320000.0,2.2,125.0,1,2008.0,30,261,4,1
18900.0,176000.0,2.0,100.0,0,2010.0,17,628,10,1
17000.0,270000.0,2.0,135.0,0,2011.0,2,36,2,1
25700.0,149344.0,2.0,110.0,0,2017.0,48,425,2,1
29900.0,255890.0,1.6,88.0,1,2016.0,45,441,4,1
39990.0,145951.0,1.5,96.0,0,2019.0,34,57,6,1
77990.0,124693.0,2.0,143.0,0,2019.0,30,311,10,1
22500.0,179000.0,1.5,66.0,0,2017.0,36,403,4,1
8300.0,223500.0,1.3,55.0,0,2014.0,33,238,4,1
7200.0,210000.0,0.9,43.0,1,2010.0,40,293,4,0
51000.0,75000.0,2.2,103.0,0,2017.0,30,147,4,1
10800.0,190000.0,1.4,50.0,1,2013.0,6,161,4,1
28900.0,283428.0,2.4,120.0,1,2013.0,46,600,10,1
9900.0,246000.0,2.0,85.0,1,2010.0,14,413,2,1
39900.0,171018.0,2.0,110.0,1,2016.0,25,476,10,1
28900.0,189000.0,2.0,103.0,1,2016.0,21,481,12,1
31800.0,245000.0,3.0,180.0,0,2011.0,1,101,4,1
13500.0,342274.0,1.5,54.0,1,2014.0,44,453,4,3
49990.0,62186.0,2.0,110.0,0,2017.0,30,260,4,1
23500.0,189000.0,1.5,81.0,1,2018.0,36,403,5,1
23900.0,193884.0,2.0,135.0,1,2014.0,48,426,2,1
10900.0,190000.0,1.6,66.0,1,2013.0,48,285,2,1
9400.0,157000.0,1.6,68.0,1,2011.0,34,32,4,1
11000.0,310000.0,2.0,120.0,1,2005.0,2,390,4,1
18300.0,275265.0,2.0,103.0,0,2011.0,45,441,2,1
12700.0,237863.0,2.0,110.0,1,2010.0,34,57,6,1
19300.0,320000.0,2.0,125.0,1,2010.0,1,98,4,1
47800.0,242000.0,2.5,150.0,0,2013.0,30,391,12,1
17500.0,309271.0,2.0,110.0,0,2015.0,48,425,2,1
13000.0,215000.0,1.7,81.0,1,2013.0,33,124,2,1
7990.0,299000.0,1.9,74.0,1,2004.0,45,556,6,1
24990.0,129680.0,2.0,88.0,0,2017.0,46,570,4,1
39999.0,270000.0,3.0,225.0,1,2012.0,2,598,4,1
26900.0,130918.0,2.0,110.0,1,2017.0,45,328,2,1
10900.0,224000.0,1.7,81.0,0,2011.0,33,124,2,1
21990.0,162560.0,2.0,110.0,0,2016.0,34,32,4,1
40990.0,84976.0,2.0,110.0,0,2019.0,45,441,4,1
39990.0,133684.0,2.0,110.0,0,2017.0,45,441,4,1
52900.0,126521.0,2.0,110.0,1,2018.0,25,476,4,1
8950.0,264000.0,1.6,80.0,1,2009.0,14,291,2,1
21200.0,169000.0,1.6,73.0,0,2017.0,34,32,2,1
33000.0,140000.0,1.6,85.0,1,2018.0,2,5,4,1
18900.0,255154.0,1.6,77.0,0,2014.0,45,328,2,1
2150.0,270000.0,1.2,40.0,0,2006.0,48,285,4,0
14500.0,296000.0,2.2,100.0,1,2006.0,30,261,4,1
10900.0,238095.0,1.2,75.0,1,2011.0,36,216,1,0
33500.0,188000.0,3.0,175.0,0,2012.0,1,567,10,1
12500.0,247000.0,2.2,90.0,1,2008.0,30,183,4,1
31900.0,219282.0,2.0,110.0,1,2016.0,45,443,4,1
10700.0,192000.0,1.4,50.0,1,2013.0,34,46,5,1
26000.0,252000.0,2.0,105.0,0,2014.0,2,591,12,1
7500.0,333000.0,1.9,110.0,1,2005.0,0,323,11,1
23000.0,215000.0,1.6,77.0,1,2016.0,48,526,4,1
30900.0,265808.0,2.0,110.0,0,2014.0,45,441,4,1
79900.0,18876.0,2.0,120.0,0,2021.0,1,98,4,1
54900.0,165375.0,2.0,140.0,1,2017.0,2,593,10,1
25000.0,255.0,2.0,135.0,1,2010.0,2,63,4,1
12500.0,312000.0,1.6,77.0,0,2010.0,48,425,4,1
10500.0,335000.0,2.0,80.0,1,2004.0,25,297,4,1
6700.0,354000.0,1.9,96.0,1,2002.0,45,441,4,1
23999.0,150000.0,1.6,77.0,0,2013.0,45,145,4,1
11000.0,260000.0,2.7,92.0,1,2004.0,32,547,4,1
8900.0,254800.0,2.0,103.0,1,2009.0,6,171,4,1
8500.0,330000.0,1.9,77.0,1,2006.0,45,331,4,1
24900.0,184.0,1.6,85.0,0,2018.0,48,425,2,1
39900.0,50123.0,1.0,93.0,1,2018.0,16,215,11,0
35900.0,271000.0,3.0,177.0,1,2012.0,21,335,10,1
35950.0,215000.0,2.2,130.0,0,2015.0,30,94,5,1
41900.0,104493.0,2.0,132.0,1,2015.0,25,252,10,1
16900.0,279639.0,2.5,130.0,1,2009.0,45,555,12,1
25900.0,183956.0,1.8,155.0,1,2013.0,1,100,11,0
30900.0,212052.0,2.0,110.0,1,2017.0,45,441,2,1
46500.0,111000.0,3.0,195.0,1,2014.0,30,194,2,1
7000.0,305000.0,1.9,66.0,1,2004.0,45,328,4,1
89950.0,55250.0,3.0,183.0,0,2016.0,25,475,12,1
39500.0,193000.0,2.0,140.0,1,2016.0,45,441,4,1
13950.0,249000.0,2.0,103.0,0,2012.0,48,425,2,1
26700.0,219000.0,2.0,105.0,1,2012.0,1,460,10,1
6900.0,174000.0,3.0,150.0,1,2005.0,14,544,4,0
10500.0,325000.0,3.2,165.0,1,2003.0,30,267,4,1
55000.0,90000.0,2.0,202.0,1,2019.0,17,625,11,0
10500.0,226000.0,2.0,110.0,1,2005.0,33,124,4,0
93200.0,5.0,1.6,192.0,0,2022.0,44,610,4,0
28200.0,151000.0,2.0,155.0,1,2016.0,45,328,4,0
11950.0,301000.0,1.6,77.0,0,2011.0,48,425,2,1
53000.0,254000.0,2.2,120.0,1,2015.0,30,583,3,1
1999.0,310000.0,1.8,89.0,1,2007.0,4,423,2,4
