Brand,Model,Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Tip,Registrovan,Godina,Gorivo
Volkswagen,Golf,29900.0,260000.0,1.4,81.0,Limuzina,true,2016.0,Plin
Citroen,C4,13100.0,250000.0,1.6,68.0,Limuzina,true,2014.0,Dizel
Jeep,Grand Cherokee,7500.0,275000.0,4.7,164.0,,false,1999.0,Plin
Mercedes-Benz,C 220,34990.0,261659.0,2.2,125.0,Limuzina,false,2016.0,Dizel
Nissan,Terrano,31990.0,109553.0,2.7,92.0,Terenac,false,2002.0,Dizel
Audi,Q5,62000.0,165000.0,2.0,140.0,SUV,true,2018.0,Dizel
Volkswagen,Tiguan Allspace,54990.0,167746.0,2.0,110.0,SUV,false,2018.0,Dizel
Volkswagen,Passat,17900.0,320744.0,1.6,77.0,Karavan,true,2015.0,Dizel
Škoda,Octavia,8200.0,235000.0,1.8,118.0,Karavan,true,2009.0,Benzin
BMW,520,19900.0,225000.0,2.0,140.0,Karavan,true,2010.0,Dizel
Porsche,Cayenne,89500.0,159456.0,4.2,283.0,Terenac,true,2015.0,Dizel
Škoda,Fabia,13900.0,233757.0,1.6,66.0,Karavan,true,2013.0,Dizel
Fiat,Panda,9950.0,220000.0,0.9,48.0,,0,2013.0,Benzin
Volkswagen,Passat,15500.0,275000.0,1.6,77.0,Karavan,true,2012.0,Dizel
Volkswagen,Golf,21900.0,192940.0,1.6,81.0,Karavan,true,2015.0,Dizel
Volkswagen,Sharan,27000.0,236500.0,2.0,103.0,Monovolumen,true,2012.0,Dizel
Smart,ForFour,29500.0,4100.0,1.2,60.0,Limuzina,false,2019.0,Elektro
Audi,A6,12000.0,330000.0,2.0,103.0,,true,2005.0,Dizel
Audi,A5,45800.0,200000.0,2.0,140.0,Limuzina,true,2017.0,Dizel
Mazda,5,15999.0,219000.0,1.6,85.0,,0,2012.0,Dizel
Renault,Talisman,33999.0,134000.0,1.6,118.0,Limuzina,true,2016.0,Dizel
Volkswagen,T6 Multivan,78900.0,176456.0,2.0,150.0,Monovolumen,0,2015.0,Dizel
Ford,Focus,9000.0,244870.0,1.6,80.0,Karavan,true,2008.0,Dizel
Volkswagen,Golf,10500.0,190000.0,1.5,65.0,,0,1982.0,Benzin
Volkswagen,Golf,8000.0,200000.0,1.6,55.0,Malo auto,false,1989.0,Benzin
Peugeot,308,22900.0,134727.0,1.2,81.0,Limuzina,false,2018.0,Benzin
Citroen,C3,17900.0,154231.0,1.5,75.0,,true,2019.0,Dizel
Renault,Scenic,12200.0,185000.0,1.6,81.0,Limuzina,true,2011.0,Dizel
Mercedes-Benz,C 200,8660.0,,,,,0,,
Ford,Mondeo,25900.0,205114.0,2.0,110.0,,false,2016.0,Dizel
Mercedes-Benz,Sprinter,30000.0,325000.0,2.2,85.0,,true,2010.0,Dizel
Mercedes-Benz,S 320,24000.0,235000.0,3.2,173.0,Limuzina,true,2008.0,Dizel
Opel,Astra,10900.0,64095.0,1.6,85.0,Limuzina,false,2009.0,Benzin
Renault,Grand Scenic,3990.0,256172.0,1.9,88.0,Monovolumen,false,2005.0,Dizel
Mercedes-Benz,GL 350,35000.0,205000.0,3.0,157.0,SUV,false,2011.0,Dizel
Peugeot,308,17800.0,166231.0,1.6,88.0,,true,2016.0,Dizel
Mercedes-Benz,C 200,54990.0,84221.0,2.0,110.0,Limuzina,false,2018.0,Dizel
Audi,A3,15000.0,280000.0,1.6,66.0,Karavan,true,2011.0,Dizel
Audi,Q5,30500.0,237000.0,3.0,176.0,SUV,true,2011.0,Dizel
Volkswagen,Passat,34990.0,147915.0,1.6,88.0,Limuzina,false,2019.0,Dizel
Audi,Q7,67990.0,133699.0,3.0,160.0,SUV,false,2017.0,Dizel
Mercedes-Benz,CLA 220,40990.0,151267.0,2.2,130.0,Sportski/kupe,false,2017.0,Dizel
Jaguar,XF,24100.0,196123.0,3.0,202.0,Limuzina,true,2010.0,Dizel
Volkswagen,Sharan,40990.0,120495.0,2.0,110.0,Monovolumen,false,2017.0,Dizel
Mercedes-Benz,C 220,59990.0,92253.0,2.0,143.0,Limuzina,false,2019.0,Dizel
Mercedes-Benz,E 220,64990.0,177790.0,2.0,143.0,Limuzina,false,2019.0,Dizel
Peugeot,308,13200.0,238822.0,1.6,82.0,Karavan,false,2013.0,Dizel
Renault,Megane,9200.0,250000.0,1.5,81.0,Karavan,true,2011.0,Dizel
Volkswagen,Passat,37990.0,144030.0,1.6,88.0,Karavan,false,2020.0,Dizel
Volkswagen,Polo,14900.0,191674.0,1.2,55.0,Limuzina,true,2014.0,Dizel
Seat,Altea,8200.0,260000.0,1.9,77.0,,true,2007.0,Dizel
Honda,Civic,3199.0,150000.0,1.5,55.0,,true,1993.0,Benzin
Volkswagen,Golf,13400.0,240000.0,1.6,77.0,,0,2010.0,Dizel
BMW,320,38300.0,186000.0,2.0,140.0,Limuzina,true,2016.0,Dizel
BMW,X3,43299.0,215000.0,2.0,140.0,Terenac,true,2015.0,Dizel
Volkswagen,Golf,20000.0,256000.0,1.6,77.0,,true,2013.0,Dizel
Volkswagen,Golf,13000.0,250000.0,1.6,77.0,Limuzina,true,2011.0,Dizel
Volkswagen,Passat,9900.0,295000.0,2.0,110.0,Karavan,true,2008.0,Dizel
Opel,Vectra,3800.0,303000.0,3.0,130.0,,true,2005.0,Dizel
Lancia,Delta,11300.0,204000.0,1.6,88.0,Limuzina,0,2009.0,Dizel
Mercedes-Benz,B 180,23900.0,200914.0,1.5,80.0,Limuzina,true,2013.0,Dizel
Audi,S6,127990.0,36788.0,3.0,257.0,Limuzina,false,2020.0,Dizel
Citroen,C3,8950.0,132000.0,1.4,70.0,,true,2011.0,Benzin
Mercedes-Benz,E 200,23900.0,300000.0,2.2,100.0,Limuzina,true,2011.0,Dizel
BMW,525,28500.0,302000.0,3.0,150.0,Limuzina,true,2010.0,Dizel
Mercedes-Benz,GLC 250,59500.0,170000.0,2.5,175.0,SUV,true,2016.0,Dizel
BMW,X1,24950.0,290914.0,2.0,135.0,Limuzina,false,2014.0,Dizel
Ford,Kuga,23900.0,267690.0,2.0,110.0,Terenac,true,2014.0,Dizel
Kia,pro cee'd / ProCeed,15900.0,193000.0,1.6,130.0,Limuzina,true,2016.0,Benzin
Hyundai,Sonata,7000.0,270000.0,2.4,118.0,Limuzina,true,2006.0,Plin
Peugeot,407,6800.0,330000.0,2.0,100.0,,true,2008.0,Dizel
Mercedes-Benz,CLS 320,19900.0,311427.0,3.2,165.0,Sportski/kupe,true,2006.0,Dizel
Škoda,Fabia,9500.0,233800.0,1.6,55.0,Karavan,true,2013.0,Dizel
Peugeot,5008,46900.0,140000.0,1.6,88.0,Monovolumen,false,2018.0,Dizel
BMW,X1,25900.0,241000.0,2.0,135.0,SUV,true,2013.0,Dizel
Renault,Clio,7999.0,186000.0,1.5,65.0,,0,2012.0,Dizel
Suzuki,SJ Samurai,7850.0,93180.0,1.0,51.0,Off Road,true,1984.0,Dizel
Volkswagen,Passat,16999.0,275003.0,2.0,103.0,Karavan,true,2013.0,Dizel
Mercedes-Benz,E 220,17000.0,470095.0,2.2,125.0,Karavan,true,2010.0,Dizel
Volkswagen,Golf,6850.0,275852.0,2.0,103.0,Malo auto,true,2004.0,Dizel
Škoda,Octavia,12900.0,180000.0,1.6,77.0,Karavan,true,2011.0,Dizel
BMW,530,25900.0,240600.0,3.0,190.0,Karavan,false,2011.0,Dizel
BMW,X1,23900.0,221579.0,2.0,105.0,Terenac,true,2011.0,Dizel
Volkswagen,ID.4,85000.0,12000.0,1.0,150.0,Limuzina,true,2022.0,Elektro
BMW,116,19900.0,255000.0,2.0,85.0,Malo auto,true,2014.0,Dizel
Jaguar,XF,22400.0,272000.0,3.0,202.0,Limuzina,true,2009.0,Dizel
Mazda,CX-5,22500.0,241600.0,2.2,110.0,SUV,false,2016.0,Dizel
Mercedes-Benz,GLE 350 coupe,189990.0,10082.0,2.0,235.0,SUV,false,2022.0,Dizel
Mercedes-Benz,CLS 400,99990.0,137198.0,3.0,250.0,Limuzina,false,2021.0,Dizel
Lamborghini,Urus,750000.0,8000.0,4.0,478.0,,false,2022.0,Benzin
Audi,A6,12700.0,350000.0,2.7,132.0,Limuzina,true,2005.0,Dizel
Volkswagen,Passat,29500.0,163500.0,1.6,88.0,Karavan,true,2015.0,Dizel
Audi,Q5,67000.0,150000.0,2.0,140.0,Terenac,true,2017.0,Dizel
Volkswagen,Golf,28900.0,172084.0,2.0,110.0,Karavan,true,2019.0,Dizel
Volkswagen,Golf,14500.0,265000.0,1.6,77.0,Karavan,true,2011.0,Dizel
Toyota,Avensis,12900.0,459591.0,2.2,110.0,,true,2010.0,Dizel
Fiat,Bravo,1000.0,247216.0,1.2,59.0,,true,2001.0,Benzin
GMC,Envoy,14200.0,137212.0,4.2,200.0,Terenac,true,2005.0,Plin
Peugeot,308,20500.0,200000.0,1.5,75.0,Limuzina,0,2018.0,Dizel
Volkswagen,Passat,12300.0,275000.0,2.0,103.0,Karavan,true,2009.0,Dizel
Toyota,RAV 4,58500.0,185000.0,2.5,170.0,,0,2019.0,Hibrid
Volkswagen,Passat,26800.0,198000.0,1.6,88.0,Limuzina,true,2015.0,Dizel
Volkswagen,Passat,12999.0,259000.0,2.0,81.0,Karavan,true,2009.0,Dizel
BMW,418 Gran Coupe,37999.0,220000.0,2.0,105.0,Sportski/kupe,true,2015.0,Dizel
Peugeot,3008,38900.0,209944.0,1.5,96.0,SUV,true,2019.0,Dizel
Volvo,V40,25990.0,115827.0,2.0,88.0,Limuzina,false,2017.0,Dizel
Volkswagen,Passat,37990.0,157085.0,2.0,110.0,Limuzina,false,2019.0,Dizel
Volkswagen,Passat,38990.0,100340.0,1.6,88.0,Karavan,false,2020.0,Dizel
Mercedes-Benz,E 220,17000.0,320000.0,2.2,125.0,Limuzina,true,2008.0,Dizel
Bentley,Continental GT,255000.0,16551.0,4.0,388.0,Sportski/kupe,true,2015.0,Benzin
Hyundai,ix35,18900.0,176000.0,2.0,100.0,SUV,0,2010.0,Dizel
BMW,320,17000.0,270000.0,2.0,135.0,Karavan,false,2011.0,Dizel
Škoda,Octavia,25700.0,149344.0,2.0,110.0,Karavan,false,2017.0,Dizel
Volkswagen,Passat,29900.0,255890.0,1.6,88.0,Limuzina,true,2016.0,Dizel
Peugeot,5008,39990.0,145951.0,1.5,96.0,Monovolumen,false,2019.0,Dizel
Mercedes-Benz,GLC 220,77990.0,124693.0,2.0,143.0,SUV,false,2019.0,Dizel
Renault,Megane,22500.0,179000.0,1.5,66.0,Limuzina,false,2017.0,Dizel
Opel,Corsa,8300.0,223500.0,1.3,55.0,,0,2014.0,Dizel
Smart,ForTwo,7200.0,210000.0,0.9,43.0,,true,2010.0,Benzin
Mercedes-Benz,C 200,51000.0,75000.0,2.2,103.0,Limuzina,false,2017.0,Dizel
Citroen,C3,10800.0,190000.0,1.4,50.0,Limuzina,true,2013.0,Dizel
Volvo,XC 60,28900.0,283428.0,2.4,120.0,SUV,true,2013.0,Dizel
Ford,Mondeo,9900.0,246000.0,2.0,85.0,Karavan,true,2010.0,Dizel
Land Rover,Range Rover Evoque,39900.0,171018.0,2.0,110.0,SUV,true,2016.0,Dizel
Jeep,Renegade,28900.0,189000.0,2.0,103.0,Terenac,true,2016.0,Dizel
Audi,A6,31800.0,245000.0,3.0,180.0,Limuzina,0,2011.0,Dizel
Toyota,Prius,13500.0,342274.0,1.5,54.0,Limuzina,true,2014.0,Hibrid
Mercedes-Benz,E 200,49990.0,62186.0,2.0,110.0,Limuzina,false,2017.0,Dizel
Renault,Megane,23500.0,189000.0,1.5,81.0,Malo auto,true,2018.0,Dizel
Citroen,CX,6200.0,186000.0,2.5,70.0,Oldtimer,false,1984.0,Dizel
Škoda,Octavia RS,23900.0,193884.0,2.0,135.0,Karavan,true,2014.0,Dizel
Škoda,Fabia,10900.0,190000.0,1.6,66.0,Karavan,true,2013.0,Dizel
Peugeot,308,9400.0,157000.0,1.6,68.0,Limuzina,true,2011.0,Dizel
BMW,M3,11000.0,310000.0,2.0,120.0,Limuzina,true,2005.0,Dizel
Volkswagen,Passat,18300.0,275265.0,2.0,103.0,Karavan,false,2011.0,Dizel
Peugeot,5008,12700.0,237863.0,2.0,110.0,Monovolumen,true,2010.0,Dizel
Audi,A4,19300.0,320000.0,2.0,125.0,Limuzina,true,2010.0,Dizel
Mercedes-Benz,ML 250,47800.0,242000.0,2.5,150.0,Terenac,0,2013.0,Dizel
Škoda,Octavia,17500.0,309271.0,2.0,110.0,Karavan,false,2015.0,Dizel
Opel,Astra,13000.0,215000.0,1.7,81.0,Karavan,true,2013.0,Dizel
Volkswagen,Touran,7990.0,299000.0,1.9,74.0,Monovolumen,true,2004.0,Dizel
Volvo,V40,24990.0,129680.0,2.0,88.0,Limuzina,false,2017.0,Dizel
BMW,X6,39999.0,270000.0,3.0,225.0,,true,2012.0,Dizel
Volkswagen,Golf,26900.0,130918.0,2.0,110.0,Karavan,true,2017.0,Dizel
Opel,Astra,10900.0,224000.0,1.7,81.0,Karavan,0,2011.0,Dizel
